,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
604,Ripon Unified,32643980.56,3165.31,10313.043765065664,Unified
605,Stockton Unified,500026300.5,32964.89,15168.450448340644,Unified
606,Tracy Joint Unified,162366066.49,13971.6,11621.150511752412,Unified
607,Lammersville Joint Unified,52688591.97,5198.23,10135.87162745781,Unified
608,Atascadero Unified,49932928.57,4503.37,11087.90274172453,Unified
610,Lucia Mar Unified,113426693.98,9847.93,11517.820900432884,Unified
612,San Luis Coastal Unified,96158404.77,7235.1,13290.542600655139,Unified
614,Shandon Joint Unified,4479224.87,283.55,15796.948933168753,Unified
615,Templeton Unified,25289893.54,2311.36,10941.564074830401,Unified
616,Paso Robles Joint Unified,78893149.23,6433.66,12262.56115958879,Unified
617,Coast Unified,11575788.78,535.36,21622.438695457262,Unified
622,Cabrillo Unified,38226512.39,3012.99,12687.235068818683,Unified
625,Jefferson Union High,54450201.31,4068.71,13382.669521789461,High
627,La Honda-Pescadero Unified,6712706.41,301.21,22285.801965406197,Unified
637,San Mateo Union High,164053046.48,8474.8,19357.74844008118,High
638,Sequoia Union High,161718393.86,8336.71,19398.34705297414,High
639,South San Francisco Unified,103511767.67,7982.84,12966.784711957149,Unified
645,Carpinteria Unified,30542984.0,2072.64,14736.27064999228,Unified
651,Lompoc Unified,110323664.39,9023.57,12226.165962030549,Unified
655,Santa Maria Joint Union High,100586863.54,7651.84,13145.447832155403,High
656,Santa Ynez Valley Union High,11593194.09,876.6,13225.18148528405,High
659,Cuyama Joint Unified,3462449.03,186.65,18550.490383069915,Unified
660,Santa Barbara Unified,166324897.83,12603.35,13196.880022375004,Unified
665,Campbell Union High,106899706.23,7785.49,13730.633040438046,High
667,East Side Union High,285829345.07,21330.1,13400.28153032569,High
670,Fremont Union High,165529877.91,10591.23,15628.956968170836,High
671,Gilroy Unified,128503511.99,10481.27,12260.299752797131,Unified
676,Los Gatos-Saratoga Joint Union High,57952308.91,3380.89,17141.14002821742,High
679,Morgan Hill Unified,90662331.48,7845.76,11555.583076719146,Unified
681,Mountain View-Los Altos Union High,96772070.75,4194.27,23072.446635528944,High
685,Palo Alto Unified,263967064.09,11539.11,22875.859931138537,Unified
686,San Jose Unified,348554444.47,28193.81,12362.800361852478,Unified
687,Santa Clara Unified,279246633.25,14598.03,19129.062842726038,Unified
691,Milpitas Unified,115757306.08,9951.26,11632.427057478148,Unified
692,Santa Cruz City Elementary/High,88362330.58,6080.16,14532.895611299702,Comm admin dist
698,Pajaro Valley Unified,260323635.18,16968.45,15341.627265896414,Unified
699,San Lorenzo Valley Unified,27394860.62,2191.04,12503.131216226086,Unified
701,Scotts Valley Unified,23959088.42,2328.43,10289.804039631856,Unified
702,Anderson Union High,18819343.45,1427.43,13184.074490517924,High
710,Fall River Joint Unified,16082930.76,1107.26,14524.981269078626,Unified
723,Shasta Union High,57100002.29,4097.72,13934.57881211991,High
726,Gateway Unified,29777201.83,2116.85,14066.750988497059,Unified
727,Sierra-Plumas Joint Unified,5792083.7,377.56,15340.829801885793,Unified
733,Dunsmuir Joint Union High,1797933.16,54.82,32797.02955125866,High
746,Siskiyou Union High,8741694.07,515.06,16972.185900671768,High
750,Yreka Union High,9151212.53,585.18,15638.286561399911,High
751,Butte Valley Unified,4072326.67,273.06,14913.669779535632,Unified
752,Scott Valley Unified,8776308.74,633.16,13861.123160022744,Unified
753,Benicia Unified,47907683.29,4454.46,10754.992364955573,Unified
754,Dixon Unified,36506721.41,3031.35,12043.057189041185,Unified
755,Fairfield-Suisun Unified,219811559.4,20390.67,10780.006708950712,Unified
756,Travis Unified,58423236.52,5289.46,11045.217568523063,Unified
